alert_id,account_id,transaction_id,relevant_transaction_ids,typology,triggered,alert_score,severity,triggering_rules,evidence_signals,recommended_initial_action,case_required,created_at,linked_case_id
ALERT-MONE-D5BF68E3,ACC000001,TXN001576,TXN001572|TXN001573|TXN001574|TXN001575|TXN001576,money_mule,True,30,medium,MM-001|MM-003,inbound_transaction_count|unique_counterparties,monitor,True,2025-02-24T09:26:10,CASE-B5EF89EE
ALERT-SMUR-B9D0B567,ACC000002,TXN001455,TXN001454|TXN001455|TXN001456|TXN001457|TXN001458|TXN001459|TXN001460|TXN001461|TXN001462,smurfing,True,45,medium,SMF-001|SMF-002|SMF-005,multiple_inbound_counterparties|aggregate_inbound_amount|transaction_profile_deviation,monitor,True,2025-08-17T00:39:36,CASE-AF2ABDD5
ALERT-MONE-A8A0A9AB,ACC000002,TXN001455,TXN001454|TXN001455|TXN001456|TXN001457|TXN001458|TXN001459|TXN001460|TXN001461,money_mule,True,45,medium,MM-001|MM-003|MM-004,inbound_transaction_count|unique_counterparties|profile_deviation,monitor,True,2025-08-17T00:39:36,CASE-AF2ABDD5
ALERT-ACCO-3158D667,ACC000006,TXN001591,TXN001591,account_swap,True,100,critical,AS-001|AS-002|AS-003|AS-004|AS-005|AS-006|AS-008,sim_change_detected|new_device|device_fingerprint_change|distance_from_last_location_km|time_difference_hours|registered_country_mismatch|first_time_beneficiary|compound_account_takeover_signal,escalate,True,2025-08-11T06:12:45,CASE-B632406C
ALERT-SMUR-01A24100,ACC000008,TXN001561,TXN001555|TXN001556|TXN001557|TXN001558|TXN001559|TXN001560|TXN001561,smurfing,True,50,medium,SMF-001|SMF-003|SMF-006,multiple_inbound_counterparties|rapid_onward_transfer|network_depth,monitor,True,2025-07-22T21:32:23,CASE-D7233AB7
ALERT-MONE-0776989E,ACC000008,TXN001561,TXN001555|TXN001556|TXN001557|TXN001558|TXN001559|TXN001560|TXN001561,money_mule,True,85,critical,MM-001|MM-002|MM-003|MM-005|MM-006,inbound_transaction_count|outgoing_incoming_ratio|median_inbound_to_outbound_minutes|unique_counterparties|low_retention_of_received_funds|new_beneficiary_after_inbound,escalate,True,2025-07-22T18:55:22,CASE-D7233AB7
ALERT-REVE-CD79B9BC,ACC000010,TXN001476,TXN001476|TXN001477|TXN001478,reverse_smurfing,True,80,critical,RSMF-001|RSMF-002|RSMF-003|RSMF-005|RSMF-006,unique_outbound_receivers|outbound_amount_fragmentation|distribution_window_hours|transaction_profile_deviation|network_depth,escalate,True,2025-10-14T07:24:07,CASE-F02890CC
ALERT-SMUR-82529DDF,ACC000020,TXN001440,TXN001432|TXN001433|TXN001434|TXN001435|TXN001436|TXN001437|TXN001438|TXN001439|TXN001440|TXN001441,smurfing,True,30,medium,SMF-001|SMF-002,multiple_inbound_counterparties|aggregate_inbound_amount,monitor,True,2025-05-15T00:18:25,CASE-3C608D24
ALERT-MONE-1D82B69F,ACC000020,TXN001440,TXN001432|TXN001433|TXN001434|TXN001435|TXN001436|TXN001437|TXN001438|TXN001439|TXN001440,money_mule,True,30,medium,MM-001|MM-003,inbound_transaction_count|unique_counterparties,monitor,True,2025-05-15T00:18:25,CASE-3C608D24
ALERT-SMUR-344DCB87,ACC000053,TXN001424,TXN001421|TXN001422|TXN001423|TXN001424|TXN001425|TXN001426|TXN001427|TXN001428|TXN001429,smurfing,True,45,medium,SMF-001|SMF-002|SMF-005,multiple_inbound_counterparties|aggregate_inbound_amount|transaction_profile_deviation,monitor,True,2025-05-18T13:11:49,CASE-F8B5C818
ALERT-MONE-9DC731F9,ACC000053,TXN001424,TXN001421|TXN001422|TXN001423|TXN001424|TXN001425|TXN001426|TXN001427|TXN001428,money_mule,True,45,medium,MM-001|MM-003|MM-004,inbound_transaction_count|unique_counterparties|profile_deviation,monitor,True,2025-05-18T13:11:49,CASE-F8B5C818
ALERT-REVE-D16168F5,ACC000061,TXN001541,TXN001540|TXN001541|TXN001542,reverse_smurfing,True,65,high,RSMF-001|RSMF-002|RSMF-003|RSMF-006,unique_outbound_receivers|outbound_amount_fragmentation|distribution_window_hours|network_depth,escalate,True,2025-10-26T08:15:42,CASE-66333D51
ALERT-SMUR-24B89E3B,ACC000080,TXN001571,TXN001567|TXN001568|TXN001569|TXN001570|TXN001571,smurfing,True,65,high,SMF-001|SMF-003|SMF-005|SMF-006,multiple_inbound_counterparties|rapid_onward_transfer|transaction_profile_deviation|network_depth,escalate,True,2025-03-13T13:54:09,CASE-37897EBB
ALERT-MONE-1D251CA1,ACC000080,TXN001571,TXN001567|TXN001568|TXN001569|TXN001570|TXN001571,money_mule,True,100,critical,MM-001|MM-002|MM-003|MM-004|MM-005|MM-006,inbound_transaction_count|outgoing_incoming_ratio|median_inbound_to_outbound_minutes|unique_counterparties|profile_deviation|low_retention_of_received_funds|new_beneficiary_after_inbound,escalate,True,2025-03-13T08:35:44,CASE-37897EBB
ALERT-ACCO-36B85313,ACC000095,TXN001593,TXN001593,account_swap,True,100,critical,AS-001|AS-002|AS-003|AS-004|AS-005|AS-006|AS-007|AS-008,sim_change_detected|new_device|device_fingerprint_change|distance_from_last_location_km|time_difference_hours|registered_country_mismatch|first_time_beneficiary|transaction_amount|compound_account_takeover_signal,escalate,True,2025-08-10T10:24:58,CASE-3DFAC4DF
ALERT-REVE-E0731635,ACC000101,TXN001524,TXN001524|TXN001525|TXN001526,reverse_smurfing,True,80,critical,RSMF-001|RSMF-002|RSMF-003|RSMF-005|RSMF-006,unique_outbound_receivers|outbound_amount_fragmentation|distribution_window_hours|transaction_profile_deviation|network_depth,escalate,True,2025-03-03T09:09:48,CASE-EBBA9F53
ALERT-ACCO-B429B9E9,ACC000103,TXN001594,TXN001594,account_swap,True,100,critical,AS-001|AS-002|AS-003|AS-004|AS-005|AS-006|AS-008,sim_change_detected|new_device|device_fingerprint_change|distance_from_last_location_km|time_difference_hours|registered_country_mismatch|first_time_beneficiary|compound_account_takeover_signal,escalate,True,2025-05-25T10:06:04,CASE-58C63B14
ALERT-SMUR-1F33B252,ACC000109,TXN001471,TXN001465|TXN001466|TXN001467|TXN001468|TXN001469|TXN001470|TXN001471|TXN001472,smurfing,True,45,medium,SMF-001|SMF-002|SMF-005,multiple_inbound_counterparties|aggregate_inbound_amount|transaction_profile_deviation,monitor,True,2025-06-13T20:13:28,CASE-57D2D1C3
ALERT-MONE-2F3897CC,ACC000109,TXN001471,TXN001465|TXN001466|TXN001467|TXN001468|TXN001469|TXN001470|TXN001471,money_mule,True,45,medium,MM-001|MM-003|MM-004,inbound_transaction_count|unique_counterparties|profile_deviation,monitor,True,2025-06-13T20:13:28,CASE-57D2D1C3
ALERT-SMUR-F327B505,ACC000115,TXN001449,TXN001444|TXN001445|TXN001446|TXN001447|TXN001448|TXN001449|TXN001450|TXN001451,smurfing,True,30,medium,SMF-001|SMF-002,multiple_inbound_counterparties|aggregate_inbound_amount,monitor,True,2025-04-30T20:13:39,CASE-94FB2213
ALERT-MONE-686FE942,ACC000115,TXN001449,TXN001444|TXN001445|TXN001446|TXN001447|TXN001448|TXN001449|TXN001450,money_mule,True,30,medium,MM-001|MM-003,inbound_transaction_count|unique_counterparties,monitor,True,2025-04-30T20:13:39,CASE-94FB2213
ALERT-ACCO-9784E96F,ACC000115,TXN001595,TXN001595,account_swap,True,100,critical,AS-001|AS-002|AS-003|AS-004|AS-005|AS-006|AS-008,sim_change_detected|new_device|device_fingerprint_change|distance_from_last_location_km|time_difference_hours|registered_country_mismatch|first_time_beneficiary|compound_account_takeover_signal,escalate,True,2025-05-02T10:06:10,CASE-B5748E63
